scenario,taskCount,run,totalCpuTime,totalWaitTime,avgStartTime,avgExecutionTime,avgFinishTime,throughput,makespan,imbalanceDegree,resourceUtilization,totalEnergy
Baseline_RoundRobin,6000,1,28655879.7190000750,0.0000000000,0.3000000000,4775.9799531667,4776.2799531667,0.1892962439,31696.3500000000,0.1004338054,16.7421308523,114106859.9999999900
Baseline_RoundRobin,6000,2,28655879.0290000180,0.0000000000,0.3000000000,4775.9798381667,4776.2798381667,0.1892962678,31696.3460000000,0.1004312054,16.7421325620,114106845.5999999800
Baseline_RoundRobin,6000,3,28655871.3209999900,0.0000000000,0.3000000000,4775.9785535000,4776.2785535000,0.1892962558,31696.3480000000,0.1004344868,16.7421270022,114106852.7999999800
Baseline_RoundRobin,6000,4,28655879.7190000750,0.0000000000,0.3000000000,4775.9799531667,4776.2799531667,0.1892962439,31696.3500000000,0.1004338054,16.7421308523,114106859.9999999900
Baseline_RoundRobin,6000,5,28655879.0290000180,0.0000000000,0.3000000000,4775.9798381667,4776.2798381667,0.1892962678,31696.3460000000,0.1004312054,16.7421325620,114106845.5999999800
Baseline_RoundRobin,6000,6,28655871.3209999900,0.0000000000,0.3000000000,4775.9785535000,4776.2785535000,0.1892962558,31696.3480000000,0.1004344868,16.7421270022,114106852.7999999800
Baseline_RoundRobin,6000,7,28655879.7190000750,0.0000000000,0.3000000000,4775.9799531667,4776.2799531667,0.1892962439,31696.3500000000,0.1004338054,16.7421308523,114106859.9999999900
Baseline_RoundRobin,6000,8,28655879.0290000180,0.0000000000,0.3000000000,4775.9798381667,4776.2798381667,0.1892962678,31696.3460000000,0.1004312054,16.7421325620,114106845.5999999800
Baseline_RoundRobin,6000,9,28655871.3209999900,0.0000000000,0.3000000000,4775.9785535000,4776.2785535000,0.1892962558,31696.3480000000,0.1004344868,16.7421270022,114106852.7999999800
Baseline_RoundRobin,6000,10,28655879.7190000750,0.0000000000,0.3000000000,4775.9799531667,4776.2799531667,0.1892962439,31696.3500000000,0.1004338054,16.7421308523,114106859.9999999900
MOWS,7000,1,40387852.8820000200,0.0000000000,0.3000000000,5769.6932688571,5769.9932688572,0.1177538745,59446.0270000000,1.1279448830,12.5815506816,214005697.2000000200
